AGE,INCOME,GENDER,MARITAL,NUMKIDS,RISK
32,38537,Female,married,1,good risk
25,37571,Female,single,0,good risk
34,37062,Female,single,0,bad loss
30,36356,Female,single,0,bad loss
31,36036,Female,married,0,good risk
27,35505,Female,single,0,bad profit
31,34845,Male,single,0,bad loss
38,34281,Female,single,0,good risk
37,33953,Male,single,0,bad profit
35,33679,Female,married,0,good risk
44,33454,Male,married,0,good risk
39,33011,Male,single,0,bad profit
35,32827,Male,single,0,good risk
36,32620,Male,single,0,good risk
25,32461,Male,single,0,good risk
26,31911,Male,single,0,bad loss
32,31778,Female,single,0,good risk
38,31523,Female,single,0,good risk
32,31295,Female,single,0,bad profit
38,31101,Male,single,0,bad loss
43,30791,Female,single,0,good risk
35,30422,Female,single,0,good risk
43,29987,Female,divwidsep,4,good risk
30,29933,Male,single,0,good risk
32,29892,Female,single,0,good risk
36,29848,Female,single,0,good risk
47,29811,Male,divwidsep,4,bad loss
45,29780,Male,divwidsep,4,bad profit
49,29746,Female,married,3,bad loss
47,29691,Male,married,2,good risk
36,29608,Male,single,0,good risk
40,29541,Female,divwidsep,4,bad profit
34,29453,Female,single,0,good risk
44,29413,Female,divwidsep,2,bad loss
50,29374,Female,divwidsep,2,bad profit
42,29308,Female,divwidsep,3,bad loss
30,29282,Female,divwidsep,3,bad profit
38,29222,Female,single,0,good risk
33,29182,Male,single,0,bad loss
47,29095,Male,divwidsep,2,bad profit
41,29069,Male,divwidsep,2,bad profit
41,29004,Male,divwidsep,2,bad profit
32,28942,Male,married,2,bad loss
45,28840,Male,married,0,good risk
40,28785,Male,divwidsep,4,bad loss
44,28716,Male,divwidsep,3,good risk
43,28658,Female,divwidsep,4,bad loss
44,28617,Female,divwidsep,3,bad loss
49,28549,Female,divwidsep,3,bad profit
48,28490,Male,divwidsep,2,bad profit
29,28454,Male,single,0,good risk
45,28383,Female,married,2,bad profit
31,28315,Male,single,0,bad loss
44,28230,Female,divwidsep,2,bad loss
26,28172,Male,divwidsep,3,good risk
48,28115,Male,divwidsep,2,bad loss
39,28050,Male,single,0,bad profit
46,27994,Male,divwidsep,2,bad loss
38,27936,Male,divwidsep,2,bad profit
44,27909,Male,divwidsep,2,bad loss
31,27862,Female,divwidsep,4,bad loss
39,27841,Male,single,0,good risk
34,27794,Female,single,0,good risk
35,27706,Male,single,0,good risk
36,27639,Female,single,0,bad profit
46,27596,Male,divwidsep,3,bad profit
45,27553,Female,divwidsep,4,bad loss
43,27517,Male,married,2,bad loss
28,27416,Female,divwidsep,4,bad loss
47,27353,Male,married,2,bad loss
44,27281,Female,divwidsep,3,bad profit
45,27195,Male,divwidsep,3,bad loss
27,27127,Female,divwidsep,4,good risk
47,27086,Male,divwidsep,2,good risk
48,27045,Female,divwidsep,4,good risk
43,27008,Female,divwidsep,4,bad loss
43,26943,Female,divwidsep,3,bad loss
41,26826,Female,divwidsep,3,bad profit
41,26750,Male,divwidsep,4,good risk
45,26710,Female,divwidsep,2,bad profit
26,26595,Male,married,3,bad loss
38,26539,Male,single,0,good risk
44,26430,Female,married,3,bad loss
38,26383,Female,divwidsep,4,bad profit
47,26256,Male,divwidsep,2,bad profit
44,26231,Male,married,3,bad loss
29,26180,Male,divwidsep,2,bad loss
47,26152,Female,divwidsep,2,bad profit
31,26120,Male,divwidsep,2,good risk
30,26077,Female,single,0,good risk
47,26023,Male,married,2,bad loss
28,25935,Male,single,0,good risk
50,25884,Female,married,2,bad loss
37,25771,Female,single,0,good risk
44,25718,Female,divwidsep,2,bad profit
37,25654,Male,married,3,bad loss
42,25560,Male,divwidsep,3,bad loss
42,25517,Male,divwidsep,2,bad profit
47,25401,Female,divwidsep,3,bad profit
43,25327,Female,divwidsep,2,good risk
34,25276,Female,single,0,good risk
47,25126,Male,divwidsep,2,bad profit
48,25035,Male,married,3,bad loss
19,24989,Male,married,1,bad profit
36,24974,Male,married,2,bad profit
25,24959,Male,single,0,bad profit
22,24943,Male,single,1,good risk
25,24931,Male,married,2,bad profit
46,24919,Male,divwidsep,2,bad profit
24,24905,Female,single,1,bad profit
43,24877,Female,divwidsep,3,bad profit
24,24854,Female,married,1,bad profit
21,24824,Female,married,1,bad profit
22,24806,Female,single,1,bad profit
25,24789,Male,married,2,bad profit
21,24775,Male,married,1,good risk
25,24756,Male,single,1,bad profit
35,24745,Male,single,1,bad profit
41,24724,Male,married,2,bad loss
20,24717,Female,single,0,bad profit
23,24702,Male,single,0,bad profit
37,24682,Female,married,1,bad profit
41,24665,Male,divwidsep,4,bad loss
49,24651,Female,divwidsep,3,bad profit
25,24639,Female,married,1,bad profit
45,24630,Male,married,2,bad loss
30,24613,Female,single,0,bad profit
20,24597,Female,single,0,bad loss
21,24579,Female,single,1,bad profit
24,24564,Male,single,0,bad profit
18,24555,Female,married,1,bad profit
24,24538,Male,married,2,good risk
45,24528,Male,divwidsep,4,bad profit
40,24519,Female,married,2,bad loss
23,24512,Female,married,1,bad profit
21,24504,Female,single,0,bad profit
25,24484,Female,married,1,bad profit
19,24465,Female,married,1,bad profit
30,24451,Female,married,1,bad profit
20,24421,Male,single,1,bad profit
40,24392,Female,divwidsep,3,bad profit
23,24377,Female,single,1,bad profit
44,24371,Male,divwidsep,2,bad profit
35,24351,Male,married,2,bad loss
34,24339,Female,single,0,bad profit
27,24327,Male,divwidsep,3,bad loss
42,24313,Female,divwidsep,3,bad profit
41,24304,Male,married,2,bad loss
23,24290,Male,married,2,bad profit
22,24281,Female,married,2,bad profit
23,24252,Female,single,0,bad profit
43,24244,Female,divwidsep,2,bad loss
49,24226,Female,divwidsep,3,bad profit
46,24211,Male,divwidsep,4,bad loss
18,24184,Male,married,2,bad loss
49,24162,Female,divwidsep,2,bad profit
20,24148,Male,single,0,bad loss
23,24131,Female,single,0,bad profit
25,24099,Female,single,1,bad profit
23,24076,Male,single,0,bad profit
19,24058,Male,married,2,bad profit
21,24042,Female,single,1,bad profit
48,24027,Female,divwidsep,4,bad loss
22,24006,Female,married,1,bad profit
24,23993,Male,single,1,bad profit
33,23980,Male,single,0,bad profit
22,23953,Female,married,1,bad loss
25,23944,Female,single,0,good risk
20,23921,Male,married,1,bad profit
19,23906,Male,married,2,bad profit
22,23893,Male,single,1,bad loss
40,23874,Male,divwidsep,4,bad loss
41,23851,Female,divwidsep,2,bad loss
47,23838,Female,divwidsep,2,good risk
23,23830,Female,single,1,bad profit
38,23819,Female,married,2,bad profit
43,23805,Female,divwidsep,2,bad loss
20,23786,Male,single,0,bad profit
22,23771,Male,married,1,bad profit
27,23751,Male,single,1,bad profit
21,23735,Male,single,1,bad profit
25,23721,Male,single,0,bad profit
40,23707,Male,divwidsep,2,bad loss
37,23684,Male,married,2,bad loss
23,23661,Male,single,0,bad profit
21,23646,Female,married,2,bad profit
19,23634,Male,married,1,bad profit
25,23618,Female,single,0,bad profit
25,23594,Male,married,2,bad profit
23,23586,Female,single,1,bad profit
23,23568,Male,married,2,bad loss
23,23557,Male,married,2,bad profit
43,23528,Male,married,2,bad loss
21,23514,Female,married,1,bad profit
28,23504,Male,married,2,bad loss
20,23477,Female,single,1,bad profit
22,23464,Female,married,1,bad loss
25,23446,Male,single,1,bad profit
20,23429,Male,single,0,bad loss
37,23406,Female,married,2,bad profit
22,23386,Male,married,1,bad loss
19,23374,Female,married,2,bad profit
33,23362,Female,married,2,bad profit
19,23343,Male,married,2,bad profit
25,23329,Male,married,2,bad profit
18,23317,Female,married,2,bad loss
23,23299,Male,married,1,bad profit
47,23263,Female,divwidsep,2,good risk
19,23246,Female,married,2,bad profit
36,23232,Male,married,2,bad profit
35,23215,Male,single,0,bad profit
35,23185,Female,married,2,bad profit
33,23167,Male,single,0,bad profit
22,23154,Female,single,1,good risk
24,23133,Male,married,1,bad profit
25,23117,Male,single,0,bad profit
32,23097,Female,married,1,bad profit
50,23083,Male,divwidsep,2,bad profit
25,23067,Male,single,1,bad profit
20,23054,Female,married,1,bad profit
21,23031,Male,married,1,bad profit
29,23005,Male,divwidsep,3,good risk
37,22970,Male,divwidsep,2,bad loss
19,22940,Male,married,1,bad profit
22,22919,Male,single,1,bad profit
22,22889,Male,married,1,bad profit
20,22866,Female,married,1,bad profit
22,22833,Female,single,0,bad profit
21,22818,Male,single,1,bad profit
19,22807,Female,married,1,bad profit
20,22787,Female,single,1,bad profit
47,22756,Male,married,3,bad loss
22,22741,Female,married,1,bad profit
21,22705,Male,married,2,bad profit
20,22672,Female,married,1,bad profit
42,22651,Male,divwidsep,2,good risk
20,22614,Female,single,0,bad profit
22,22583,Male,single,0,bad profit
36,22558,Male,divwidsep,2,bad profit
21,22531,Female,married,1,bad profit
23,22503,Male,single,0,bad profit
24,22483,Female,married,1,bad profit
46,22450,Male,married,3,bad loss
22,22441,Female,single,1,bad profit
23,22423,Male,single,1,bad profit
22,22387,Male,single,1,bad profit
21,22365,Male,single,1,bad profit
31,22349,Female,married,3,bad loss
20,22310,Female,married,1,bad profit
20,22277,Female,single,1,bad profit
20,22238,Male,married,1,bad profit
22,22225,Male,married,2,bad profit
28,22203,Male,married,2,bad profit
21,22167,Female,married,1,bad profit
40,22140,Female,married,2,bad loss
21,22112,Male,single,1,bad profit
28,22098,Male,married,1,bad profit
19,22082,Male,married,1,bad profit
50,22059,Male,divwidsep,3,bad profit
19,22029,Female,married,1,bad profit
22,22007,Female,married,1,bad profit
40,21975,Female,divwidsep,4,bad loss
44,21938,Female,divwidsep,3,bad loss
22,21914,Male,married,1,bad loss
37,21862,Female,single,1,bad profit
22,21834,Female,single,1,bad loss
23,21821,Female,married,1,bad profit
41,21772,Female,divwidsep,3,bad loss
23,21742,Female,single,1,bad profit
48,21726,Male,divwidsep,4,bad loss
22,21701,Female,single,0,bad profit
47,21681,Male,married,3,bad loss
19,21652,Female,married,2,good risk
38,21620,Female,single,1,bad profit
26,21610,Male,single,1,bad loss
34,21582,Female,married,1,bad profit
21,21550,Female,single,1,bad profit
25,21534,Male,single,1,bad profit
20,21524,Female,married,2,bad profit
18,21502,Male,married,1,bad profit
38,21479,Female,single,0,bad profit
27,21449,Female,single,0,bad profit
21,21421,Male,single,1,bad profit
19,21392,Male,married,1,bad profit
41,21365,Female,divwidsep,4,bad profit
32,21337,Female,divwidsep,3,good risk
22,21324,Female,single,0,bad profit
20,21306,Male,married,1,good risk
18,21287,Female,married,1,bad profit
36,21261,Female,single,0,bad profit
25,21238,Male,married,1,bad profit
29,21217,Male,married,1,bad profit
45,21192,Female,divwidsep,3,bad profit
28,21175,Male,married,1,good risk
37,21155,Male,single,0,bad profit
26,21139,Female,single,1,bad profit
42,21125,Female,divwidsep,4,bad profit
24,21108,Male,single,1,bad profit
24,21074,Male,married,2,bad profit
36,21039,Male,married,2,bad profit
35,21023,Male,married,1,bad profit
36,20995,Female,married,2,bad profit
22,20984,Male,married,1,bad profit
49,20963,Female,divwidsep,3,bad profit
19,20946,Male,married,1,bad profit
24,20923,Female,single,1,bad profit
23,20901,Female,single,1,bad profit
22,20876,Male,single,1,bad profit
24,20857,Female,married,2,bad profit
36,20830,Female,married,1,bad profit
36,20811,Male,single,1,bad profit
40,20789,Female,married,3,bad loss
19,20760,Female,married,2,bad loss
24,20710,Female,single,1,bad profit
25,20680,Female,married,1,bad profit
23,20669,Male,married,1,bad profit
24,20639,Male,single,0,bad profit
26,20617,Male,divwidsep,2,bad loss
20,20589,Male,single,1,bad profit
46,20579,Female,married,2,bad loss
24,20559,Female,single,0,bad profit
48,20536,Female,divwidsep,4,bad profit
18,20521,Female,married,2,bad profit
20,20497,Male,married,2,bad profit
20,20478,Male,married,2,bad loss
23,20456,Male,married,2,bad profit
35,20443,Female,single,1,bad profit
38,20422,Female,divwidsep,2,bad profit
28,20396,Male,single,1,bad profit
21,20375,Male,married,2,bad loss
24,20360,Male,single,1,bad profit
20,20326,Male,single,0,bad profit
48,20308,Female,divwidsep,4,bad loss
38,20287,Male,single,1,bad loss
44,20265,Female,divwidsep,4,bad profit
25,20240,Female,married,1,bad profit
44,20194,Male,divwidsep,2,good risk
25,20175,Female,single,1,bad profit
23,20158,Male,married,1,bad profit
23,20135,Male,single,1,bad profit
38,20097,Female,married,1,bad profit
48,20066,Male,divwidsep,3,bad loss
23,20026,Male,married,2,bad profit
38,20000,Male,married,3,bad loss
22,19809,Male,single,0,bad profit
21,19640,Female,married,1,good risk
24,19511,Female,married,1,bad profit
21,19238,Female,single,0,bad loss
34,19039,Female,married,1,bad profit
19,18976,Female,married,1,bad profit
48,18947,Male,divwidsep,2,bad profit
22,18889,Female,married,1,bad profit
22,18853,Male,single,1,bad profit
21,18787,Female,single,0,bad profit
24,18749,Female,single,1,bad profit
22,18701,Male,married,2,bad profit
49,18664,Female,divwidsep,3,bad loss
43,18625,Male,divwidsep,4,bad profit
21,18586,Female,single,0,bad profit
27,18560,Male,single,0,bad profit
32,18532,Female,married,1,bad profit
27,18488,Male,married,2,bad loss
22,18444,Female,single,0,bad profit
47,18401,Female,married,3,bad loss
34,18331,Female,married,2,bad profit
19,18298,Female,married,1,bad profit
21,18265,Male,married,1,bad profit
25,18228,Female,single,1,bad profit
20,18185,Male,married,2,bad profit
20,18148,Male,married,2,bad profit
25,18126,Male,single,1,bad profit
27,18103,Female,divwidsep,3,bad profit
25,18050,Female,single,1,bad profit
25,18012,Female,married,2,bad profit
34,17977,Female,married,3,bad loss
33,17943,Male,married,1,good risk
22,17917,Male,single,1,bad profit
25,17886,Male,single,1,bad profit
46,17843,Female,divwidsep,2,good risk
23,17824,Female,married,2,bad profit
22,17785,Female,single,0,bad profit
48,17747,Male,divwidsep,2,bad profit
22,17704,Male,single,1,bad profit
23,17681,Male,single,1,bad profit
20,17634,Female,married,1,bad profit
42,17580,Male,divwidsep,3,good risk
22,17548,Male,single,0,bad profit
33,17511,Female,divwidsep,2,bad loss
26,17478,Male,married,3,bad loss
31,17454,Male,married,3,bad profit
25,17415,Female,married,1,good risk
42,17351,Female,married,3,bad loss
21,17296,Female,single,0,bad profit
22,17231,Male,single,1,good risk
22,17193,Male,single,1,bad profit
23,17155,Female,married,2,bad profit
48,17120,Female,divwidsep,4,bad profit
37,17091,Female,divwidsep,2,bad loss
28,17055,Female,divwidsep,4,bad profit
19,17006,Female,married,1,bad profit
43,16969,Female,divwidsep,4,good risk
24,16938,Male,married,1,bad profit
41,16921,Male,married,3,bad loss
19,16873,Female,married,1,bad profit
20,16828,Male,married,1,bad profit
20,16797,Female,married,1,bad profit
50,16760,Female,divwidsep,3,bad loss
40,16721,Male,divwidsep,3,bad profit
41,16700,Female,divwidsep,2,bad profit
43,16659,Male,divwidsep,4,bad profit
23,16629,Female,married,2,bad loss
24,16563,Female,married,2,bad profit
40,16523,Male,divwidsep,3,bad loss
45,16492,Male,married,3,bad loss
24,16472,Female,single,0,bad profit
30,16439,Female,married,2,bad profit
23,16411,Female,married,2,bad profit
20,16379,Male,single,1,bad profit
23,16355,Female,married,1,bad profit
49,16312,Female,divwidsep,3,bad profit
32,16272,Female,divwidsep,3,bad loss
23,16229,Female,single,0,bad profit
41,16204,Male,divwidsep,2,bad profit
22,16152,Male,married,1,bad profit
22,16073,Female,single,1,good risk
21,16006,Male,married,2,bad profit
20,15966,Female,single,1,bad loss
22,15935,Male,married,1,bad profit
24,15885,Male,single,0,bad profit
25,15863,Male,single,1,bad profit
40,15802,Male,divwidsep,2,bad loss
22,15774,Female,single,0,bad profit
24,15755,Male,single,1,bad profit
21,15736,Male,single,1,bad profit
41,15671,Male,divwidsep,2,bad profit
38,15615,Male,divwidsep,4,bad profit
23,15587,Female,single,1,bad profit
28,15518,Female,married,2,bad loss
23,15466,Male,married,2,bad profit
36,15449,Male,married,1,bad profit
41,15420,Female,married,3,bad profit
49,15392,Male,divwidsep,2,good risk
37,15328,Female,divwidsep,2,bad loss
42,15303,Male,divwidsep,2,bad loss
46,15268,Male,married,2,bad loss
22,15203,Male,single,1,bad profit
25,15175,Male,single,0,good risk
47,15139,Female,divwidsep,4,bad loss
24,15112,Female,single,0,bad profit
43,15082,Female,married,2,bad loss
21,15058,,married,1,bad profit
24,15045,,single,1,good risk
